"id","alat","alon","address","district","plz","educational","topics","languages","name","type","parent","parentType","mo_o","mo_c","tu_o","tu_c","we_o","we_c","th_o","th_c","fr_o","fr_c","all","over","under"
"1535","52.44157","13.4618","Möwenweg 21","Buckow","12359","2","","","Kita Die Möwe","0","770","1","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","36","25","11"
"588379","52.46518","13.43968","Delbrückstr. 58","Neukölln","12051","","","","Kita Die Palmeninsel","0","904","1","0","0","0","0","0","0","0","0","0","0","25","null","null"
"2976","52.46841","13.49342","Rodelbergweg 2","Baumschulenweg","12437","28|12|2|3","1|4|6","","Kita Die Plänter/WeG gGmbH","0","721","1","08:00","17:00","08:00","16:00","08:00","17:00","08:00","17:00","08:00","17:00","25","14","11"
"1034","52.62393","13.48448","Röländer Str. 46","Karow","13125","13|2","1|2|4|6","","Kita Die Röländer","0","15","1","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:00","82","62","20"
"733229","52.52818","13.55404","Otto-Nagel-Str. 57","Biesdorf","12683","","","","Kita Die Senfkörner II","0","45","1","0","0","0","0","0","0","0","0","0","0","15","null","null"
"173179","52.44542","13.50925","Königsheideweg 285","Johannisthal","12487","","","","Kita Die wilden Knallerbsen","0","905","1","0","0","0","0","0","0","0","0","0","0","74","null","null"
"487229","52.5470012","13.4070636","Gleimstr. 13","Prenzlauer Berg","13355","0|2","","","Kita Die wilden Küken","0","906","1","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","25","13","12"
"362129","52.50532","13.55825","Elsterwerdaer Platz 1","Biesdorf","12683","13|2","4","","Kita Die Wuhlewanderer","0","903","1","07:00","17:00","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","60","35","25"
"574229","52.587","13.40216","Dietzgenstr. 66","Niederschönhausen","13158","2","1|2|4|6","","Kita Dietzgen-Strolche","0","907","1","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","34","22","12"
"2634","52.45823","13.37395","Burgemeisterstr. 32","Tempelhof","12103","2|3","0|1|2|3|4","0|1|6|8|2|5|3","Kita Dino Bambino","0","908","1","06:00","16:30","06:00","16:30","06:00","16:30","06:00","16:30","06:00","16:00","30","18","12"
